date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
2000-09-01;14,12;15,37;13,74;;;;132357;111622;24642;86980;20735
2000-10-01;14,17;15,45;13,77;;;;132352;111609;24638;86971;20743
2000-11-01;14,23;15,5;13,85;;;;132553;111793;24623;87170;20760
2000-12-01;14,29;15,49;13,92;;;;132718;111914;24575;87339;20804
2001-01-01;14,29;15,51;13,93;;;;132699;111864;24533;87331;20835
2001-02-01;14,36;15,56;14,0;;;;132786;111880;24475;87405;20906
2001-03-01;14,42;15,62;14,06;;;;132751;111806;24409;87397;20945
2001-04-01;14,45;15,62;14,09;;;;132455;111463;24254;87209;20992
2001-05-01;14,5;15,71;14,14;;;;132411;111382;24119;87263;21029
2001-06-01;14,54;15,77;14,18;;;;132296;111159;23965;87194;21137
2001-07-01;14,55;15,82;14,18;;;;132173;110988;23837;87151;21185
2001-08-01;14,6;15,86;14,22;;;;132024;110806;23667;87139;21218
2001-09-01;14,63;15,89;14,26;;;;131765;110523;23536;86987;21242
2001-10-01;14,66;15,92;14,29;;;;131452;110177;23378;86799;21275
2001-11-01;14,71;16,0;14,34;;;;131141;109815;23209;86606;21326
2001-12-01;14,74;16,06;14,37;;;;130984;109629;23094;86535;21355
2002-01-01;14,76;16,1;14,38;;;;130853;109476;22961;86515;21377
2002-02-01;14,78;16,15;14,39;;;;130732;109342;22877;86465;21390
2002-03-01;14,82;16,18;14,44;;;;130720;109289;22786;86503;21431
2002-04-01;14,84;16,21;14,45;;;;130616;109173;22689;86484;21443
2002-05-01;14,88;16,25;14,49;;;;130632;109118;22604;86514;21514
2002-06-01;14,93;16,29;14,55;;;;130682;109133;22579;86554;21549
2002-07-01;14,97;16,34;14,59;;;;130585;109041;22521;86520;21544
2002-08-01;15,02;16,38;14,65;;;;130587;108998;22449;86549;21589
2002-09-01;15,05;16,43;14,67;;;;130498;108952;22396;86556;21546
2002-10-01;15,11;16,49;14,74;;;;130621;109062;22324;86738;21559
2002-11-01;15,15;16,52;14,77;;;;130617;109036;22282;86754;21581
2002-12-01;15,2;16,61;14,81;;;;130469;108881;22189;86692;21588
2003-01-01;15,22;16,62;14,84;;;;130580;108954;22146;86808;21626
2003-02-01;15,28;16,65;14,91;;;;130443;108819;22023;86796;21624
2003-03-01;15,27;16,68;14,88;;;;130232;108622;21945;86677;21610
2003-04-01;15,28;16,7;14,9;;;;130176;108581;21864;86717;21595
2003-05-01;15,33;16,76;14,94;;;;130196;108629;21832;86797;21567
2003-06-01;15,36;16,8;14,97;;;;130192;108586;21788;86798;21606
2003-07-01;15,4;16,82;15,02;;;;130184;108551;21708;86843;21633
2003-08-01;15,42;16,86;15,04;;;;130153;108597;21705;86892;21556
2003-09-01;15,42;16,9;15,02;;;;130252;108748;21700;87048;21504
2003-10-01;15,42;16,89;15,03;;;;130439;108881;21691;87190;21558
2003-11-01;15,46;16,94;15,07;;;;130482;108947;21688;87259;21535
2003-12-01;15,47;16,96;15,07;;;;130594;109048;21702;87346;21546
2004-01-01;15,51;17,0;15,11;;;;130766;109228;21714;87514;21538
2004-02-01;15,53;17,05;15,13;;;;130822;109272;21694;87578;21550
2004-03-01;15,56;17,09;15,15;;;;131139;109551;21758;87793;21588
2004-04-01;15,59;17,11;15,18;;;;131409;109795;21803;87992;21614
2004-05-01;15,63;17,13;15,23;;;;131693;110079;21881;88198;21614
2004-06-01;15,67;17,15;15,27;;;;131789;110188;21885;88303;21601
2004-07-01;15,69;17,17;15,3;;;;131850;110244;21901;88343;21606
2004-08-01;15,73;17,23;15,33;;;;131936;110310;21943;88367;21626
2004-09-01;15,78;17,3;15,37;;;;132083;110448;21957;88491;21635
2004-10-01;15,81;17,31;15,41;;;;132435;110779;22003;88776;21656
2004-11-01;15,84;17,34;15,44;;;;132509;110817;21997;88820;21692
2004-12-01;15,86;17,36;15,46;;;;132633;110940;22005;88935;21693
2005-01-01;15,9;17,36;15,51;;;;132779;111044;21959;89085;21735
2005-02-01;15,93;17,44;15,53;;;;133033;111289;22036;89253;21744
2005-03-01;15,97;17,46;15,58;;;;133154;111414;22066;89348;21740
2005-04-01;16,01;17,51;15,61;;;;133515;111761;22136;89625;21754
2005-05-01;16,04;17,55;15,64;;;;133687;111906;22172;89734;21781
2005-06-01;16,08;17,58;15,68;;;;133939;112176;22185;89991;21763
2005-07-01;16,15;17,62;15,76;;;;134297;112440;22205;90235;21857
2005-08-01;16,17;17,67;15,78;;;;134495;112632;22227;90405;21863
2005-09-01;16,19;17,66;15,81;;;;134552;112707;22226;90481;21845
2005-10-01;16,28;17,74;15,89;;;;134646;112817;22292;90525;21829
2005-11-01;16,31;17,73;15,92;;;;135001;113142;22358;90784;21859
2005-12-01;16,36;17,76;15,98;;;;135160;113281;22376;90905;21879
2006-01-01;16,41;17,78;16,04;;;;135425;113578;22467;91111;21847
2006-02-01;16,48;17,8;16,12;;;;135732;113854;22535;91319;21878
2006-03-01;16,54;17,82;16,2;34,2;39,1;33,0;136041;114138;22571;91567;21903
2006-04-01;16,63;17,86;16,3;34,3;39,3;33,1;136210;114291;22630;91661;21919
2006-05-01;16,65;17,93;16,31;34,3;39,3;33,0;136247;114321;22597;91724;21926
2006-06-01;16,72;18,01;16,38;34,4;39,4;33,2;136328;114406;22598;91808;21922
2006-07-01;16,77;18,01;16,44;34,3;39,4;33,1;136522;114549;22590;91959;21973
2006-08-01;16,83;18,08;16,49;34,3;39,3;33,1;136688;114677;22571;92106;22011
2006-09-01;16,87;18,1;16,54;34,4;39,3;33,2;136825;114743;22537;92206;22082
2006-10-01;16,93;18,19;16,6;34,3;39,3;33,1;136849;114781;22456;92325;22068
2006-11-01;16,98;18,24;16,64;34,3;39,2;33,2;137068;114985;22408;92577;22083
2006-12-01;17,05;18,33;16,71;34,5;39,5;33,2;137251;115163;22404;92759;22088
2007-01-01;17,09;18,37;16,75;34,3;39,3;33,1;137475;115380;22439;92941;22095
