date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1982-01-01;48,7979;45,8904;95,7922;58,7019;75,0122;71,4102;88,8281;84,2729
1982-02-01;49,7942;47,1997;96,8148;57,0803;76,3833;73,2857;89,5632;81,8171
1982-03-01;49,459;46,8597;96,0147;57,0889;75,7186;72,6053;88,6366;81,7063
1982-04-01;49,0072;46,5022;94,0154;57,1523;74,8888;71,9096;86,6356;81,6793
1982-05-01;48,6784;46,4053;92,4932;55,6016;74,2587;71,6268;85,1055;79,3529
1982-06-01;48,5529;46,3714;91,2146;55,7917;73,9501;71,4502;83,8293;79,5175
1982-07-01;48,3859;46,3096;89,8917;55,7783;73,5908;71,2415;82,5421;79,397
1982-08-01;47,9495;45,8956;89,2119;55,0817;72,8353;70,5035;81,8722;78,3096
1982-09-01;47,8258;45,8183;88,3389;55,2589;72,5682;70,2953;81,0485;78,4689
1982-10-01;47,3656;45,244;88,0325;55,4189;71,8027;69,3371;80,7661;78,6057
1982-11-01;47,2148;45,001;87,7927;56,1548;71,5184;68,8988;80,5651;79,5597
1982-12-01;46,8797;44,8694;86,7285;54,4385;70,9657;68,642;79,6246;77,042
1983-01-01;47,7491;45,9065;87,5777;54,32;72,2448;70,1813;80,4557;76,7888
1983-02-01;47,4548;45,8713;85,8495;52,9218;71,77;70,0877;78,9304;74,7269
1983-03-01;47,8516;46,2998;84,7589;54,8527;72,3463;70,7092;77,9985;77,3625
1983-04-01;48,4511;46,8625;85,6387;55,8919;73,2328;71,5399;78,8855;78,7319
1983-05-01;48,7542;47,411;85,2444;54,8568;73,6723;72,3507;78,6016;77,1733
1983-06-01;49,0496;47,7844;85,4781;54,6942;74,0991;72,8939;78,8959;76,8365
1983-07-01;49,7773;48,4581;85,9986;56,577;75,1751;73,8925;79,4507;79,3609
1983-08-01;50,3727;48,8853;86,7765;58,8727;76,044;74,5089;80,2376;82,4443
1983-09-01;51,098;49,7743;87,3477;58,7273;77,0993;75,8192;80,8298;82,0927
1983-10-01;51,4993;50,2992;88,2219;57,7992;77,6543;76,5625;81,6993;80,638
1983-11-01;51,727;50,5525;88,2239;58,1516;77,9349;76,8789;81,759;80,96
1983-12-01;51,9886;50,6924;87,2312;60,8646;78,2537;77,0087;80,8953;84,5491
1984-01-01;53,0175;51,5982;91,3313;60,6461;79,7126;78,2857;84,7573;84,0484
1984-02-01;53,2651;52,168;90,3317;59,3598;79,9814;79,0341;83,8932;82,0643
1984-03-01;53,5145;52,3936;89,6713;60,8169;80,2384;79,2432;83,3486;83,8654
1984-04-01;53,8319;52,6496;91,4306;60,4988;80,5838;79,4813;85,0619;83,2098
1984-05-01;54,1204;52,8105;92,7964;61,0638;80,8718;79,5585;86,4238;83,765
1984-06-01;54,3133;53,0539;93,1713;60,7418;81,0034;79,7419;86,8797;83,1017
1984-07-01;54,4644;53,2688;94,7417;59,099;81,0623;79,8674;88,4703;80,6415
1984-08-01;54,53;53,3829;93,7507;59,7258;80,9851;79,8284;87,6869;81,2866
1984-09-01;54,3775;53,193;94,3604;59,1035;80,5773;79,3249;88,4063;80,2375
1984-10-01;54,3528;53,484;91,2736;59,0717;80,3528;79,5296;85,6586;79,9989
1984-11-01;54,5344;53,6211;91,3434;59,832;80,4271;79,4969;85,8605;80,8378
1984-12-01;54,5608;53,7558;91,4668;58,8258;80,2683;79,4565;86,0974;79,2992
1985-01-01;54,5342;53,6592;89,3241;61,301;80,0283;79,0718;84,1773;82,458
1985-02-01;54,7019;53,4562;91,0004;63,4318;80,0705;78,5321;85,8224;85,148
1985-03-01;54,7739;53,8586;91,2355;60,513;79,972;78,8845;86,0735;81,0699
1985-04-01;54,6662;53,6786;90,9888;61,1038;79,6139;78,3908;85,8274;81,7085
1985-05-01;54,7472;53,7809;91,1659;60,9673;79,5339;78,3193;85,9291;81,3794
1985-06-01;54,7211;53,8009;91,2694;60,425;79,3029;78,1397;85,9029;80,5153
1985-07-01;54,4381;53,5769;89,6992;60,6389;78,7087;77,6237;84,2403;80,6652
1985-08-01;54,619;53,8434;89,538;60,505;78,7942;77,8367;83,8423;80,3561
1985-09-01;54,82;53,8658;90,5775;61,6756;78,918;77,7145;84,5265;81,7792
1985-10-01;54,6304;53,7519;89,9764;61,1207;78,4912;77,4143;83,6502;80,9146
1985-11-01;54,8176;54,1062;88,8758;61,0196;78,6182;77,8059;82,3025;80,6528
1985-12-01;55,3596;54,2851;90,7062;63,9209;79,2651;77,9611;83,6668;84,3548
1986-01-01;55,6511;54,9292;90,4312;61,8978;79,5636;78,7983;83,0917;81,5572
1986-02-01;55,27;54,6218;89,1978;61,3652;78,9134;78,2813;81,6838;80,7282
1986-03-01;54,8828;54,4358;86,8082;60,5068;78,2664;77,9481;79,2646;79,4733
1986-04-01;54,9456;54,69;83,9264;60,8619;78,2696;78,2516;76,4472;79,8151
1986-05-01;55,0535;54,7736;83,4322;61,5728;78,3421;78,31;75,8714;80,6218
1986-06-01;54,837;54,539;82,3002;61,9346;77,9558;77,9084;74,7876;80,9698
1986-07-01;55,1716;54,8342;81,9552;63,0527;78,3535;78,2543;74,501;82,3061
1986-08-01;55,0792;54,97;81,2029;61,5011;78,1419;78,3576;73,9273;80,1609
1986-09-01;55,2317;55,1251;80,5702;62,094;78,2726;78,4715;73,5331;80,8158
1986-10-01;55,4645;55,3279;81,0949;62,4938;78,5086;78,6341;74,2571;81,2207
1986-11-01;55,6854;55,5309;82,076;62,5284;78,7174;78,7774;75,4547;81,1537
1986-12-01;56,212;56,0671;82,131;63,4052;79,3476;79,3746;75,8432;82,1823
1987-01-01;56,0012;55,8701;82,8327;62,4938;78,9277;78,9182;76,8629;80,8972
